Èíslo jednací ;Datum a èas ;Typ události ;Typ podrobnì ;Zpùsob øešení ;Pokuta ;Ulice 
2024/10476 ;05.02.2024 12:58;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Žlutická 29 
2024/10311 ;09.02.2024 10:58;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec - ÚMO ;0;Plzeò, Mohylová 
2024/09223 ;05.02.2024 12:20;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, Rokycanská 135 
2024/05560 ;23.01.2024 1:53;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Kralovická 19 
2024/04819 ;19.01.2024 16:40;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Bzenecká 34 
2024/01859 ;08.01.2024 10:17;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Øepná 29 
2024/00744 ;04.01.2024 5:28;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Pálavská 64 
2024/00733 ;04.01.2024 1:21;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Lochotínská 30 
