Èíslo jednací ;Datum a èas ;Typ události ;Typ podrobnì ;Zpùsob øešení ;Pokuta ;Ulice 
2023/89687 ;31.12.2023 11:23;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Bolevecká 15 
2023/89686 ;31.12.2023 11:25;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Bolevecká 17 
2023/89210 ;26.12.2023 22:26;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Strážnická 8 
2023/86859 ;14.12.2023 9:21;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pokuty - Bloková pokuta (PB) ;300;Plzeò, sady Pìtatøicátníkù 
2023/82856 ;27.11.2023 2:30;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Tìšínská 1486/19 
2023/79685 ;14.11.2023 11:20;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, Ke Špitálskému lesu 20 
2023/79440 ;13.11.2023 11:15;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, Pod Vrchem 81 
2023/78268 ;03.11.2023 12:57;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Sokolovská 44a 
2023/77742 ;01.11.2023 7:07;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Na Dlouhých 781/82 
2023/75903 ;30.10.2023 22:47;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Komenského 20 
2023/75133 ;27.10.2023 22:15;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Ke Sv. Jiøí 1220/15 
2023/73818 ;27.09.2023 8:08;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Komenského 
2023/72442 ;17.10.2023 8:52;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, Pod Vrchem 82 
2023/69874 ;11.08.2023 11:50;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Elišky Krásnohorské 20 
2023/68916 ;03.10.2023 7:26;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, Na Dlouhých 82 
2023/68023 ;29.09.2023 22:00;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Rokycanská 160 
2023/66577 ;30.07.2023 19:13;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Nad Štolou 21 
2023/64552 ;08.09.2023 13:35;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Rabštejnská 26 
2023/63056 ;07.09.2023 23:40;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, Duhová 
2023/62409 ;04.09.2023 21:08;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Brnìnská 26 
2023/61990 ;02.09.2023 20:46;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Pod Švabinami 935/44 
2023/60759 ;27.08.2023 19:19;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Sokolovská 44a 
2023/60626 ;19.07.2023 22:37;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Sokolovská 44a 
2023/59626 ;22.08.2023 6:55;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, Pod Vrchem 50 
2023/58646 ;17.08.2023 9:06;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Lochotínská 30 
2023/58614 ;20.07.2023 20:03;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Kotíkovská 83 
2023/58602 ;16.08.2023 22:35;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, Revoluèní 72 
2023/57927 ;13.08.2023 14:36;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, K Papírnì 173/48 
2023/57914 ;27.06.2023 11:17;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Toužimská 11 
2023/56987 ;08.08.2023 7:55;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Jiná opatøení - jiná opatøení - ostatní, Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Nemocnièní 
2023/56064 ;21.06.2023 20:12;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Tachovská 15 
2023/54861 ;28.07.2023 19:05;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, Pod Vrchem 4 
2023/54237 ;26.07.2023 8:57;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, Soubìžná 4 
2023/54084 ;25.07.2023 9:07;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Brožíkova 28 
2023/53216 ;18.06.2023 15:22;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Bzenecká 1 
2023/53215 ;18.06.2023 15:24;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, Bzenecká 1 
2023/52835 ;19.07.2023 8:04;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, Štefánikovo námìstí 4 
